ID	Description	geneID	status	celltype	Tissue	Dataset	Dataset name for plot
GO:1905954	positive regulation of lipid localization	RETN/APOE/MSR1	Down	C1_Epithelial_Secretory_SCGB1A1	Lung	GSE145926	Liao et al., 2020
GO:0034368	protein-lipid complex remodeling	APOC1/APOE	Down	C1_Epithelial_Secretory_SCGB1A1	Lung	GSE145926	Liao et al., 2020
GO:0030301	cholesterol transport	APOC1/APOE/MSR1	Down	C1_Epithelial_Secretory_SCGB1A1	Lung	GSE145926	Liao et al., 2020
GO:0008203	cholesterol metabolic process	APOC1/APOE/CYP27A1	Down	C1_Epithelial_Secretory_SCGB1A1	Lung	GSE145926	Liao et al., 2020
GO:0010878	cholesterol storage	TREM2/CES1/MSR1/LIPA	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0030301	cholesterol transport	TREM2/CES1/APOE/APOC1/MSR1/TSPO/LIPA	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0006869	lipid transport	TREM2/INHBA/FABP4/RBP4/CES1/RETN/APOE/APOC1/MSR1/TSPO/PSAP/LIPA	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0033344	cholesterol efflux	TREM2/CES1/APOE/APOC1/LIPA	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0032374	regulation of cholesterol transport	TREM2/CES1/APOE/APOC1/TSPO	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0010885	regulation of cholesterol storage	TREM2/CES1/MSR1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:1905952	regulation of lipid localization	TREM2/CES1/RETN/APOE/APOC1/MSR1/TSPO	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0019915	lipid storage	TREM2/CES1/APOE/MSR1/LIPA	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0032368	regulation of lipid transport	TREM2/CES1/RETN/APOE/APOC1/TSPO	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0010875	positive regulation of cholesterol efflux	TREM2/CES1/APOE	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:1905954	positive regulation of lipid localization	TREM2/CES1/RETN/APOE/MSR1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:1905953	negative regulation of lipid localization	TREM2/CES1/APOC1/TSPO	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0033559	unsaturated fatty acid metabolic process	CD74/AKR1B1/SCD/ALOX5/MGST3	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0055088	lipid homeostasis	TREM2/FABP4/CES1/APOE/TSPO/LIPA	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
GO:0006631	fatty acid metabolic process	CD74/AKR1B1/SCD/ALOX5AP/CES1/APOC1/ALOX5/MGST3/LIPA	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al., 2020
