gene	status	avg_log2FC	celltype	Dataset	ENTREZID
ISG15	Up	2.8119226510944397	C5_CD4_memory_IL7R	GSE145926	9636
C1QA	Down	-2.9942527264501613	C5_CD4_memory_IL7R	GSE145926	712
C1QB	Down	-2.7352920218519152	C5_CD4_memory_IL7R	GSE145926	713
C1orf56	Down	-1.8729795055284384	C5_CD4_memory_IL7R	GSE145926	54964
MTRNR2L12	Up	4.025603965217944	C5_CD4_memory_IL7R	GSE145926	100463498
HLA-DRA	Down	-3.0089465093495047	C5_CD4_memory_IL7R	GSE145926	3122
RPS10	Down	-2.9573707397661204	C5_CD4_memory_IL7R	GSE145926	6204
FABP4	Down	-3.4072628201023023	C5_CD4_memory_IL7R	GSE145926	2167
IFITM1	Up	4.249344570565254	C5_CD4_memory_IL7R	GSE145926	8519
IFITM3	Up	3.2365030891735627	C5_CD4_memory_IL7R	GSE145926	10410
RPL27A	Down	-2.0898563510950754	C5_CD4_memory_IL7R	GSE145926	6157
PTPRCAP	Up	2.5035049058951193	C5_CD4_memory_IL7R	GSE145926	5790
LYZ	Down	-4.1019138433590765	C5_CD4_memory_IL7R	GSE145926	4069
RPL21	Down	-1.9103983197024297	C5_CD4_memory_IL7R	GSE145926	6144
ISG20	Up	2.668293761362011	C5_CD4_memory_IL7R	GSE145926	3669
MT2A	Up	2.8787369657628377	C5_CD4_memory_IL7R	GSE145926	4502
TAOK1	Up	4.002774864699244	C5_CD4_memory_IL7R	GSE145926	57551
SNHG25	Down	-1.8189856577766117	C5_CD4_memory_IL7R	GSE145926	105376843
APOE	Down	-3.285668179710733	C5_CD4_memory_IL7R	GSE145926	348
APOC1	Down	-3.9114478807762154	C5_CD4_memory_IL7R	GSE145926	341
RPL13A	Down	-2.0104979991266436	C5_CD4_memory_IL7R	GSE145926	23521
MX1	Up	2.941183989750107	C5_CD4_memory_IL7R	GSE145926	4599
ATP8	Up	3.94041826669352	C5_CD4_memory_IL7R	GSE145926	4509
ND4L	Up	3.548566645494216	C5_CD4_memory_IL7R	GSE145926	4539
IFITM2	Up	2.0712449463265887	C5_CD4_memory_IL7R	GSE145926	10581
RPS20	Down	-2.2788462879657825	C5_CD4_memory_IL7R	GSE145926	6224
RPS17	Down	-2.8670865949384643	C5_CD4_memory_IL7R	GSE145926	6218
H3F3B	Up	1.5286526884647755	C5_CD4_memory_IL7R	GSE145926	NA
RSAD2	Up	2.882999180885827	C5_CD4_memory_IL7R	GSE145926	91543
IFIT3	Up	2.816036565291242	C5_CD4_memory_IL7R	GSE145926	3437
IRF7	Up	2.1634986609185995	C5_CD4_memory_IL7R	GSE145926	3665
IFIT1	Up	2.62643841756532	C5_CD4_memory_IL7R	GSE145926	3434
RETN	Down	-2.1564075346491736	C5_CD4_memory_IL7R	GSE145926	56729
FTL	Down	-1.5193493462342431	C5_CD4_memory_IL7R	GSE145926	2512
LY6E	Up	1.6615045749296642	C5_CD4_memory_IL7R	GSE145926	4061
MARCO	Down	-2.397438522676757	C5_CD4_memory_IL7R	GSE145926	8685
IFI44L	Up	2.006717704762567	C5_CD4_memory_IL7R	GSE145926	10964
RPS29	Down	-1.229683980349554	C5_CD4_memory_IL7R	GSE145926	6235
TNFSF10	Up	2.5147825617785755	C5_CD4_memory_IL7R	GSE145926	8743
CST3	Down	-2.266400772469452	C5_CD4_memory_IL7R	GSE145926	1471
MALAT1	Down	-1.411344345243104	C5_CD4_memory_IL7R	GSE145926	378938
IFIT2	Up	2.777420167019545	C5_CD4_memory_IL7R	GSE145926	3433
RNF213	Up	1.6754941124941694	C5_CD4_memory_IL7R	GSE145926	57674
UBE2L6	Up	1.78993388033703	C5_CD4_memory_IL7R	GSE145926	9246
IFI6	Up	1.8277598700667603	C5_CD4_memory_IL7R	GSE145926	2537
RPL26	Down	-1.228001911731976	C5_CD4_memory_IL7R	GSE145926	6154
OASL	Up	1.918987565603438	C5_CD4_memory_IL7R	GSE145926	8638
MX2	Up	1.8556420260112805	C5_CD4_memory_IL7R	GSE145926	4600
TAP1	Up	1.6084766761586131	C5_CD4_memory_IL7R	GSE145926	6890
ALDH2	Down	-1.5692595501527056	C5_CD4_memory_IL7R	GSE145926	217
CSTA	Down	-2.1034474784176544	C5_CD4_memory_IL7R	GSE145926	1475
HLA-C	Up	1.164153579905828	C5_CD4_memory_IL7R	GSE145926	3107
HERC5	Up	1.8685223671654596	C5_CD4_memory_IL7R	GSE145926	51191
HLA-DRB1	Down	-2.3378992537301646	C5_CD4_memory_IL7R	GSE145926	3123
NUPR1	Down	-2.111464625921035	C5_CD4_memory_IL7R	GSE145926	26471
PLSCR1	Up	1.7584312650711853	C5_CD4_memory_IL7R	GSE145926	5359
XAF1	Up	1.5473563274292397	C5_CD4_memory_IL7R	GSE145926	54739
CMPK2	Up	1.717856200246847	C5_CD4_memory_IL7R	GSE145926	129607
OAS1	Up	1.7045769260784585	C5_CD4_memory_IL7R	GSE145926	4938
ATP6V0C	Up	1.7234241799293313	C5_CD4_memory_IL7R	GSE145926	527
KLF6	Up	1.4434947992179217	C5_CD4_memory_IL7R	GSE145926	1316
GBP1	Up	1.780909483519214	C5_CD4_memory_IL7R	GSE145926	2633
STAT1	Up	1.6253105259794247	C5_CD4_memory_IL7R	GSE145926	6772
NME2	Up	1.769277821954309	C5_CD4_memory_IL7R	GSE145926	4831
OAS3	Up	1.6634816444025842	C5_CD4_memory_IL7R	GSE145926	4940
MIF	Up	1.2784458348188226	C5_CD4_memory_IL7R	GSE145926	4282
RARRES3	Up	1.5686915895357956	C5_CD4_memory_IL7R	GSE145926	NA
RBP4	Down	-1.1673038181486537	C5_CD4_memory_IL7R	GSE145926	5950
AC114760.2	Down	-1.2913712489717657	C5_CD4_memory_IL7R	GSE145926	NA
DDX58	Up	1.699647394356267	C5_CD4_memory_IL7R	GSE145926	NA
PSMB9	Up	1.2686798079948682	C5_CD4_memory_IL7R	GSE145926	5698
EPSTI1	Up	1.3834719244612588	C5_CD4_memory_IL7R	GSE145926	94240
HLA-E	Up	1.160269388098091	C5_CD4_memory_IL7R	GSE145926	3133
SAT1	Up	1.9096984755716615	C5_CD4_memory_IL7R	GSE145926	6303
SMCHD1	Up	1.289407846391877	C5_CD4_memory_IL7R	GSE145926	23347
GAPDH	Up	1.4129975557536527	C5_CD4_memory_IL7R	GSE145926	2597
RPL38	Down	-1.1707548041248534	C5_CD4_memory_IL7R	GSE145926	6169
HSPA8	Up	1.317977358111178	C5_CD4_memory_IL7R	GSE145926	3312
SAMD9L	Up	1.472659294148214	C5_CD4_memory_IL7R	GSE145926	219285
IFI44	Up	1.3639792608785193	C5_CD4_memory_IL7R	GSE145926	10561
ALDOA	Up	1.3824980903592756	C5_CD4_memory_IL7R	GSE145926	226
EIF2AK2	Up	1.381603422580974	C5_CD4_memory_IL7R	GSE145926	5610
USP18	Up	1.4940965457885522	C5_CD4_memory_IL7R	GSE145926	11274
C19orf66	Up	1.306631922989349	C5_CD4_memory_IL7R	GSE145926	NA
RPL36A	Down	-1.5911294477212867	C5_CD4_memory_IL7R	GSE145926	6173
FBP1	Down	-1.6919868101814135	C5_CD4_memory_IL7R	GSE145926	2203
PSMB10	Up	1.2984912105475397	C5_CD4_memory_IL7R	GSE145926	5699
NT5C3A	Up	1.449821395759612	C5_CD4_memory_IL7R	GSE145926	51251
STK17A	Up	1.235987695361467	C5_CD4_memory_IL7R	GSE145926	9263
RPL17	Down	-1.7801925564858028	C5_CD4_memory_IL7R	GSE145926	6139
ZFP36	Up	1.6710789535370385	C5_CD4_memory_IL7R	GSE145926	7538
SP100	Up	1.16550482303058	C5_CD4_memory_IL7R	GSE145926	6672
ND6	Up	1.9153500670712953	C5_CD4_memory_IL7R	GSE145926	4541
OAS2	Up	1.4142660164509753	C5_CD4_memory_IL7R	GSE145926	4939
IFI35	Up	1.3580478356183685	C5_CD4_memory_IL7R	GSE145926	3430
IFI16	Up	1.178786929851598	C5_CD4_memory_IL7R	GSE145926	3428
CD69	Up	1.4026071441360437	C5_CD4_memory_IL7R	GSE145926	969
AC116366.3	Up	1.4164241896770484	C5_CD4_memory_IL7R	GSE145926	NA
TRIM22	Up	1.341047012461795	C5_CD4_memory_IL7R	GSE145926	10346
MRC1	Down	-1.1811145111659502	C5_CD4_memory_IL7R	GSE145926	4360
CCL2	Up	3.892204496489324	C5_CD4_memory_IL7R	GSE145926	6347
RAC2	Up	1.1591146854134733	C5_CD4_memory_IL7R	GSE145926	5880
NFKBIA	Up	1.701005358625415	C5_CD4_memory_IL7R	GSE145926	4792
ZBP1	Up	1.4052406524226433	C5_CD4_memory_IL7R	GSE145926	81030
PHF11	Up	1.2133561351032096	C5_CD4_memory_IL7R	GSE145926	51131
SAMD9	Up	1.290734369316195	C5_CD4_memory_IL7R	GSE145926	54809
TYROBP	Down	-1.7873368919012491	C5_CD4_memory_IL7R	GSE145926	7305
BST2	Up	1.1733233664218905	C5_CD4_memory_IL7R	GSE145926	684
VSIG4	Down	-1.4096523071222058	C5_CD4_memory_IL7R	GSE145926	11326
LST1	Down	-1.619461170543364	C5_CD4_memory_IL7R	GSE145926	7940
GIMAP7	Up	1.1768495195398931	C5_CD4_memory_IL7R	GSE145926	168537
GIMAP4	Up	1.266736172216444	C5_CD4_memory_IL7R	GSE145926	55303
CD7	Up	1.3946849852008076	C5_CD4_memory_IL7R	GSE145926	924
DRAP1	Up	1.037732391978543	C5_CD4_memory_IL7R	GSE145926	10589
PSMB8	Up	1.0298635586861713	C5_CD4_memory_IL7R	GSE145926	5696
HLA-DQB1	Down	-2.018758181581625	C5_CD4_memory_IL7R	GSE145926	3119
MCEMP1	Down	-1.347280285837469	C5_CD4_memory_IL7R	GSE145926	199675
NDUFB8	Down	-1.3316938513511176	C5_CD4_memory_IL7R	GSE145926	4714
CD9	Down	-1.5142599511287174	C5_CD4_memory_IL7R	GSE145926	928
MS4A7	Down	-1.624533001742588	C5_CD4_memory_IL7R	GSE145926	58475
UBC	Up	1.0012972579349264	C5_CD4_memory_IL7R	GSE145926	7316
WIPF1	Up	1.0208850499896054	C5_CD4_memory_IL7R	GSE145926	7456
PPM1K	Up	1.1777182988519763	C5_CD4_memory_IL7R	GSE145926	152926
IFIH1	Up	1.3344414685913564	C5_CD4_memory_IL7R	GSE145926	64135
GBP4	Up	1.326275204985869	C5_CD4_memory_IL7R	GSE145926	115361
LCP2	Up	1.1298886332827929	C5_CD4_memory_IL7R	GSE145926	3937
LAG3	Up	1.6014463578225089	C5_CD4_memory_IL7R	GSE145926	3902
CTSD	Down	-1.3377526276262357	C5_CD4_memory_IL7R	GSE145926	1509
CD52	Down	-1.1655093016628193	C5_CD4_memory_IL7R	GSE145926	1043
CES1	Down	-1.215724758408788	C5_CD4_memory_IL7R	GSE145926	1066
PPIB	Up	1.044263484300278	C5_CD4_memory_IL7R	GSE145926	5479
CCL5	Up	1.459924513742001	C5_CD4_memory_IL7R	GSE145926	6352
ELF1	Up	1.0805220942971343	C5_CD4_memory_IL7R	GSE145926	1997
RPL31	Down	-1.502639160521098	C5_CD4_memory_IL7R	GSE145926	6160
GBP5	Up	1.1672821707860348	C5_CD4_memory_IL7R	GSE145926	115362
PARP9	Up	1.064413321317242	C5_CD4_memory_IL7R	GSE145926	83666
FCGRT	Down	-1.464104693941227	C5_CD4_memory_IL7R	GSE145926	2217
PSMA6	Up	1.0750301328757748	C5_CD4_memory_IL7R	GSE145926	5687
HSH2D	Up	1.1000978534246384	C5_CD4_memory_IL7R	GSE145926	84941
ACTB	Up	1.113306236772508	C5_CD4_memory_IL7R	GSE145926	60
GNG5	Up	1.005031729493549	C5_CD4_memory_IL7R	GSE145926	2787
ZNFX1	Up	1.046747116918754	C5_CD4_memory_IL7R	GSE145926	57169
LAP3	Up	1.124894901497674	C5_CD4_memory_IL7R	GSE145926	51056
GPNMB	Down	-1.27155490883426	C5_CD4_memory_IL7R	GSE145926	10457
PARP10	Up	1.139805226121259	C5_CD4_memory_IL7R	GSE145926	84875
NAPA	Up	1.0344029394549588	C5_CD4_memory_IL7R	GSE145926	8775
PARP12	Up	1.152796905747257	C5_CD4_memory_IL7R	GSE145926	64761
OLR1	Down	-1.3741397923020708	C5_CD4_memory_IL7R	GSE145926	4973
TRANK1	Up	1.1368174963095965	C5_CD4_memory_IL7R	GSE145926	9881
TNFAIP3	Up	1.2256526323678945	C5_CD4_memory_IL7R	GSE145926	7128
CLEC12A	Down	-1.0675643916977404	C5_CD4_memory_IL7R	GSE145926	160364
SARAF	Up	1.054323769910935	C5_CD4_memory_IL7R	GSE145926	51669
NMI	Up	1.0319937824313956	C5_CD4_memory_IL7R	GSE145926	9111
DDX60L	Up	1.2109120671007776	C5_CD4_memory_IL7R	GSE145926	91351
AC058791.1	Down	-1.3704050648822808	C5_CD4_memory_IL7R	GSE145926	NA
RPL7	Down	-1.163839033646866	C5_CD4_memory_IL7R	GSE145926	6129
CHST12	Up	1.0428413611041465	C5_CD4_memory_IL7R	GSE145926	55501
CXCL10	Up	2.661624470456501	C5_CD4_memory_IL7R	GSE145926	3627
CFD	Down	-1.4943941849761535	C5_CD4_memory_IL7R	GSE145926	1675
DTX3L	Up	1.049305816405695	C5_CD4_memory_IL7R	GSE145926	151636
ARID5A	Up	1.087551660003738	C5_CD4_memory_IL7R	GSE145926	10865
IFI27	Up	2.1381073080873536	C5_CD4_memory_IL7R	GSE145926	3429
SYNE2	Up	1.0504207096454066	C5_CD4_memory_IL7R	GSE145926	23224
TMBIM4	Down	-1.3936026810052464	C5_CD4_memory_IL7R	GSE145926	51643
DDX60	Up	1.0981799786401087	C5_CD4_memory_IL7R	GSE145926	55601
HELZ2	Up	1.005598336893579	C5_CD4_memory_IL7R	GSE145926	85441
JUN	Up	1.2006390807757024	C5_CD4_memory_IL7R	GSE145926	3725
CCL4	Up	2.742748044760056	C5_CD4_memory_IL7R	GSE145926	6351
PDE4B	Up	1.0577493071148731	C5_CD4_memory_IL7R	GSE145926	5142
GADD45B	Up	1.132773385507528	C5_CD4_memory_IL7R	GSE145926	4616
VAMP5	Up	1.0895441203371166	C5_CD4_memory_IL7R	GSE145926	10791
ZFP36L2	Up	1.0916836518524389	C5_CD4_memory_IL7R	GSE145926	678
PRF1	Up	1.5472002981976187	C5_CD4_memory_IL7R	GSE145926	5551
GRN	Down	-1.9285777480926212	C5_CD4_memory_IL7R	GSE145926	2896
CREM	Up	1.045212776225566	C5_CD4_memory_IL7R	GSE145926	1390
SELL	Up	1.2683046393771016	C5_CD4_memory_IL7R	GSE145926	6402
CD38	Up	1.3248461891210528	C5_CD4_memory_IL7R	GSE145926	952
RPL23	Down	-1.2916317078562627	C5_CD4_memory_IL7R	GSE145926	9349
CRIP1	Down	-1.9443970512804332	C5_CD4_memory_IL7R	GSE145926	1396
NKG7	Up	1.7605853884121192	C5_CD4_memory_IL7R	GSE145926	4818
MSR1	Down	-1.1824718475302436	C5_CD4_memory_IL7R	GSE145926	4481
NDUFA11	Down	-1.266953646169451	C5_CD4_memory_IL7R	GSE145926	126328
RGS1	Up	1.1689846698670232	C5_CD4_memory_IL7R	GSE145926	5996
HLA-DQA1	Down	-1.641057836744491	C5_CD4_memory_IL7R	GSE145926	3117
DUSP1	Up	1.4719192106254764	C5_CD4_memory_IL7R	GSE145926	1843
CST7	Up	1.137882726969886	C5_CD4_memory_IL7R	GSE145926	8530
TAGAP	Up	1.0163799633762205	C5_CD4_memory_IL7R	GSE145926	117289
SCD	Down	-1.1043774498832035	C5_CD4_memory_IL7R	GSE145926	6319
HLA-DPB1	Down	-1.7400127038908728	C5_CD4_memory_IL7R	GSE145926	3115
HLA-DRB5	Down	-1.9756073728381256	C5_CD4_memory_IL7R	GSE145926	3127
GZMA	Up	1.3850478094634753	C5_CD4_memory_IL7R	GSE145926	3001
LTA4H	Down	-1.5362239123739398	C5_CD4_memory_IL7R	GSE145926	4048
PSAP	Down	-1.5507274410150726	C5_CD4_memory_IL7R	GSE145926	5660
GZMB	Up	2.136749595140193	C5_CD4_memory_IL7R	GSE145926	3002
CCL4L2	Up	2.6235132280166766	C5_CD4_memory_IL7R	GSE145926	9560
SERPINA1	Down	-1.2844644216776968	C5_CD4_memory_IL7R	GSE145926	5265
FOS	Up	1.4973865533555812	C5_CD4_memory_IL7R	GSE145926	2353
HLA-DPA1	Down	-1.6293849427845983	C5_CD4_memory_IL7R	GSE145926	3113
CCL8	Up	2.4103283589194797	C5_CD4_memory_IL7R	GSE145926	6355
PSMA2	Down	-1.0194838068942491	C5_CD4_memory_IL7R	GSE145926	5683
MTRNR2L8	Up	1.150757809925612	C5_CD4_memory_IL7R	GSE145926	100463486
SOD2	Up	1.2023376109565784	C5_CD4_memory_IL7R	GSE145926	6648
ATP5PO	Down	-1.1365145820495752	C5_CD4_memory_IL7R	GSE145926	539
GNLY	Up	3.058678323666913	C5_CD4_memory_IL7R	GSE145926	10578
NDUFC2	Down	-1.0951548820666503	C5_CD4_memory_IL7R	GSE145926	4718
MT1X	Up	1.1069569847417338	C5_CD4_memory_IL7R	GSE145926	4501
CCL3L1	Up	1.952685168354568	C5_CD4_memory_IL7R	GSE145926	6349
CD74	Down	-1.0797439149705692	C5_CD4_memory_IL7R	GSE145926	972
TFRC	Down	-1.116114068499668	C5_CD4_memory_IL7R	GSE145926	7037
SMIM25	Down	-1.0702737273625162	C5_CD4_memory_IL7R	GSE145926	NA
C1orf162	Down	-1.1817993302320244	C5_CD4_memory_IL7R	GSE145926	128346
HLA-DMA	Down	-1.4090275420815472	C5_CD4_memory_IL7R	GSE145926	3108
IL1RN	Up	1.6250810447658577	C5_CD4_memory_IL7R	GSE145926	3557
HIST1H1E	Up	1.025511636518618	C5_CD4_memory_IL7R	GSE145926	NA
GZMK	Up	1.0054476005531146	C5_CD4_memory_IL7R	GSE145926	3003
CCL3	Up	1.5808031900139707	C5_CD4_memory_IL7R	GSE145926	6348
IL7R	Up	1.0024997832146538	C5_CD4_memory_IL7R	GSE145926	3575
AIF1	Down	-1.106065081439453	C5_CD4_memory_IL7R	GSE145926	199
APOBEC3A	Up	1.238606237919897	C5_CD4_memory_IL7R	GSE145926	200315
FN1	Down	-1.1760048908842975	C5_CD4_memory_IL7R	GSE145926	2335
CCL7	Up	1.475046628659956	C5_CD4_memory_IL7R	GSE145926	6354
CD8B	Up	1.2036569960525556	C5_CD4_memory_IL7R	GSE145926	926
NDUFA13	Down	-1.0759967504031904	C5_CD4_memory_IL7R	GSE145926	51079
APLP2	Down	-1.0495718746867766	C5_CD4_memory_IL7R	GSE145926	334
HNRNPH1	Down	-1.3242392715094369	C5_CD4_memory_IL7R	GSE145926	3187
GCHFR	Down	-1.1723090701908028	C5_CD4_memory_IL7R	GSE145926	2644
POLR2J3.1	Down	-1.009276598351889	C5_CD4_memory_IL7R	GSE145926	NA
SPP1	Up	1.5252829884696042	C5_CD4_memory_IL7R	GSE145926	6696
CD8A	Up	1.075093821469487	C5_CD4_memory_IL7R	GSE145926	925
ACP5	Down	-1.18661935330115	C5_CD4_memory_IL7R	GSE145926	54
MDM4	Down	-1.0877345548341384	C5_CD4_memory_IL7R	GSE145926	4194
CXCL8	Up	1.0409935093394098	C5_CD4_memory_IL7R	GSE145926	3576
TSPO	Down	-1.1351864957833844	C5_CD4_memory_IL7R	GSE145926	706
BCL2A1	Up	1.034120342747009	C5_CD4_memory_IL7R	GSE145926	597
MGST3	Down	-1.1033865684623192	C5_CD4_memory_IL7R	GSE145926	4259
C15orf48	Up	1.1324114965434977	C5_CD4_memory_IL7R	GSE145926	84419
CTSS	Down	-1.1603780569678488	C5_CD4_memory_IL7R	GSE145926	1520
KLRB1	Down	-1.6346128446927006	C5_CD4_memory_IL7R	GSE145926	3820
ARL6IP1	Down	-1.2481695898950882	C5_CD4_memory_IL7R	GSE145926	23204
STXBP2	Down	-1.0797128952891863	C5_CD4_memory_IL7R	GSE145926	6813
IFI30	Up	1.1266914474203904	C5_CD4_memory_IL7R	GSE145926	10437
CTSL	Up	1.291256415316131	C5_CD4_memory_IL7R	GSE145926	1514
ISG15	Up	2.9876603454350357	C7_Macrophages_C1QA	GSE145926	9636
C1QC	Up	1.765857729251032	C7_Macrophages_C1QA	GSE145926	714
CD52	Down	-1.8077662545682784	C7_Macrophages_C1QA	GSE145926	1043
IFI6	Up	1.850339775588544	C7_Macrophages_C1QA	GSE145926	2537
JUN	Up	1.2050301489097397	C7_Macrophages_C1QA	GSE145926	3725
NEXN	Up	1.321617777193583	C7_Macrophages_C1QA	GSE145926	91624
IFI44L	Up	1.682554344886682	C7_Macrophages_C1QA	GSE145926	10964
IFI44	Up	1.014417107719912	C7_Macrophages_C1QA	GSE145926	10561
GNG5	Up	1.1568220855077262	C7_Macrophages_C1QA	GSE145926	2787
GBP1	Up	2.1291371319665355	C7_Macrophages_C1QA	GSE145926	2633
GBP4	Up	1.1895537390570288	C7_Macrophages_C1QA	GSE145926	115361
GBP5	Up	1.5186459312513316	C7_Macrophages_C1QA	GSE145926	115362
RPS27	Down	-1.2923946105787136	C7_Macrophages_C1QA	GSE145926	6232
IFI16	Up	1.0880594242934245	C7_Macrophages_C1QA	GSE145926	3428
RGL1	Up	1.0849503199214785	C7_Macrophages_C1QA	GSE145926	23179
ATF3	Up	1.035699758397248	C7_Macrophages_C1QA	GSE145926	467
CMPK2	Up	1.4048604672196183	C7_Macrophages_C1QA	GSE145926	129607
RSAD2	Up	3.347680619056597	C7_Macrophages_C1QA	GSE145926	91543
CALM2	Down	-1.0088080689175425	C7_Macrophages_C1QA	GSE145926	805
RPS27A	Down	-1.1980810350389055	C7_Macrophages_C1QA	GSE145926	6233
PLEK	Up	1.1121868970157405	C7_Macrophages_C1QA	GSE145926	5341
VAMP5	Up	1.8454877633369384	C7_Macrophages_C1QA	GSE145926	10791
RPL31	Down	-2.022529944243832	C7_Macrophages_C1QA	GSE145926	6160
IL1RN	Up	2.394063821907973	C7_Macrophages_C1QA	GSE145926	3557
MARCO	Down	-1.0330508445709006	C7_Macrophages_C1QA	GSE145926	8685
IFIH1	Up	1.4914524866390046	C7_Macrophages_C1QA	GSE145926	64135
STAT1	Up	1.209717693586866	C7_Macrophages_C1QA	GSE145926	6772
RPL37A	Down	-1.2091225072757317	C7_Macrophages_C1QA	GSE145926	6168
RPL15	Down	-1.157639211002611	C7_Macrophages_C1QA	GSE145926	6138
CCR1	Up	1.5047553878638682	C7_Macrophages_C1QA	GSE145926	1230
MTRNR2L12	Up	3.907929585985341	C7_Macrophages_C1QA	GSE145926	100463498
CSTA	Down	-2.011287943297062	C7_Macrophages_C1QA	GSE145926	1475
PARP14	Up	1.1865416000962374	C7_Macrophages_C1QA	GSE145926	54625
PLSCR1	Up	1.4611301606247686	C7_Macrophages_C1QA	GSE145926	5359
TNFSF10	Up	2.8143685303107184	C7_Macrophages_C1QA	GSE145926	8743
TFRC	Down	-1.2505153913995692	C7_Macrophages_C1QA	GSE145926	7037
LAP3	Up	1.513040237696735	C7_Macrophages_C1QA	GSE145926	51056
CXCL8	Up	2.033022753133369	C7_Macrophages_C1QA	GSE145926	3576
CXCL10	Up	4.286250220614598	C7_Macrophages_C1QA	GSE145926	3627
CXCL11	Up	1.3640023713803888	C7_Macrophages_C1QA	GSE145926	6373
SPP1	Up	2.828231765740736	C7_Macrophages_C1QA	GSE145926	6696
HERC5	Up	1.5353898550172451	C7_Macrophages_C1QA	GSE145926	51191
RPL34	Down	-1.448463058597695	C7_Macrophages_C1QA	GSE145926	6164
FNIP2	Up	1.151710517480153	C7_Macrophages_C1QA	GSE145926	57600
DDX60L	Up	1.0872290781043037	C7_Macrophages_C1QA	GSE145926	91351
FYB1	Up	1.162183721318764	C7_Macrophages_C1QA	GSE145926	2533
LHFPL2	Up	1.3034754711363832	C7_Macrophages_C1QA	GSE145926	10184
IRF1	Up	1.129994208014271	C7_Macrophages_C1QA	GSE145926	3659
HAVCR2	Up	1.142528399765863	C7_Macrophages_C1QA	GSE145926	84868
LCP2	Up	1.123679957637801	C7_Macrophages_C1QA	GSE145926	3937
SQSTM1	Up	1.0660758111404494	C7_Macrophages_C1QA	GSE145926	8878
HLA-E	Up	1.2871328877897228	C7_Macrophages_C1QA	GSE145926	3133
IER3	Up	1.1607600734230492	C7_Macrophages_C1QA	GSE145926	8870
HLA-C	Up	1.261050503166881	C7_Macrophages_C1QA	GSE145926	3107
LST1	Down	-1.1991285086969703	C7_Macrophages_C1QA	GSE145926	7940
HLA-DRA	Down	-1.6371992478746362	C7_Macrophages_C1QA	GSE145926	3122
HLA-DRB1	Down	-1.0819144215613576	C7_Macrophages_C1QA	GSE145926	3123
PSMB9	Up	1.0746140546710414	C7_Macrophages_C1QA	GSE145926	5698
TAP1	Up	1.4286851703220282	C7_Macrophages_C1QA	GSE145926	6890
HLA-DPB1	Down	-1.183119114823196	C7_Macrophages_C1QA	GSE145926	3115
RPS18	Down	-1.4298147304780473	C7_Macrophages_C1QA	GSE145926	6222
RPS10	Down	-2.7633150891567455	C7_Macrophages_C1QA	GSE145926	6204
RPL10A	Down	-1.1735959223427583	C7_Macrophages_C1QA	GSE145926	4736
CDKN1A	Up	1.3032568613461464	C7_Macrophages_C1QA	GSE145926	1026
PLA2G7	Up	1.1783558526142304	C7_Macrophages_C1QA	GSE145926	7941
MARCKS	Up	1.8187335059077316	C7_Macrophages_C1QA	GSE145926	4082
CALHM6	Up	1.1932865794742027	C7_Macrophages_C1QA	GSE145926	441168
SGK1	Up	1.6208313749353207	C7_Macrophages_C1QA	GSE145926	6446
DYNLT1	Up	1.1057369053626702	C7_Macrophages_C1QA	GSE145926	6993
SOD2	Up	2.0339686501517735	C7_Macrophages_C1QA	GSE145926	6648
NT5C3A	Up	1.2088428125415374	C7_Macrophages_C1QA	GSE145926	51251
INHBA	Down	-1.2349101136812128	C7_Macrophages_C1QA	GSE145926	3624
NCF1	Up	1.3609980293560389	C7_Macrophages_C1QA	GSE145926	653361
SAMD9	Up	1.137425189924992	C7_Macrophages_C1QA	GSE145926	54809
SAMD9L	Up	1.0519587559100447	C7_Macrophages_C1QA	GSE145926	219285
NAMPT	Up	1.2620058710702875	C7_Macrophages_C1QA	GSE145926	10135
SAT1	Up	1.9771110891390056	C7_Macrophages_C1QA	GSE145926	6303
VSIG4	Down	-1.0397494950045496	C7_Macrophages_C1QA	GSE145926	11326
RPS4X	Down	-1.0166309623762757	C7_Macrophages_C1QA	GSE145926	6191
RPL36A	Down	-1.976686445571087	C7_Macrophages_C1QA	GSE145926	6173
RPL10	Down	-1.0326334628998417	C7_Macrophages_C1QA	GSE145926	6134
MPP1	Up	1.0808295142683133	C7_Macrophages_C1QA	GSE145926	4354
DEFB1	Up	1.628426564127805	C7_Macrophages_C1QA	GSE145926	1672
CTSB	Up	1.7164133293115755	C7_Macrophages_C1QA	GSE145926	1508
LYN	Up	1.3016780084350497	C7_Macrophages_C1QA	GSE145926	4067
RPS20	Down	-2.368167410087648	C7_Macrophages_C1QA	GSE145926	6224
RPL7	Down	-1.6580025570559582	C7_Macrophages_C1QA	GSE145926	6129
FABP4	Down	-1.227172595607724	C7_Macrophages_C1QA	GSE145926	2167
EIF3E	Down	-1.1798289639671635	C7_Macrophages_C1QA	GSE145926	3646
LY6E	Up	1.251026835185456	C7_Macrophages_C1QA	GSE145926	4061
RPS6	Down	-1.4063483186923218	C7_Macrophages_C1QA	GSE145926	6194
DDX58	Up	1.2842723641097415	C7_Macrophages_C1QA	GSE145926	NA
CTSL	Up	2.8597510968429853	C7_Macrophages_C1QA	GSE145926	1514
NINJ1	Up	1.439144247968949	C7_Macrophages_C1QA	GSE145926	4814
FBP1	Down	-1.1324776531255245	C7_Macrophages_C1QA	GSE145926	2203
RPL35	Down	-1.2827906951151644	C7_Macrophages_C1QA	GSE145926	11224
