ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	Dataset	status
GO:0010885	regulation of cholesterol storage	3/226	19/18870	0.0014256219347399002	0.01329864798761889	0.009916976933479206	MSR1/TREM2/PPARG	3	C2_Epithelial_CAPS	GSE145926	Down
GO:0019216	regulation of lipid metabolic process	11/226	342/18870	0.0028710432047941723	0.02274071817198862	0.016958053012029656	APOE/APOC1/TREM2/CD74/TSPO/PPARG/PSAP/FABP5/NPC2/ASAH1/DAB2	11	C2_Epithelial_CAPS	GSE145926	Down
GO:0010883	regulation of lipid storage	4/226	54/18870	0.003966368132217378	0.02959961953127041	0.02207282608011396	MSR1/TREM2/PPARG/PLIN2	4	C2_Epithelial_CAPS	GSE145926	Down
GO:0030301	cholesterol transport	9/162	128/18870	1.6159779734952232e-6	8.505920424124856e-5	6.627829276938304e-5	APOC1/APOE/CES1/TREM2/TSPO/LRP1/MSR1/NPC2/LIPA	9	C8_Plasma_IGHG1	GSE145926	Down
GO:0010878	cholesterol storage	5/162	25/18870	2.0270614951555743e-6	1.0295338646448048e-4	8.022147339092145e-5	CES1/TREM2/MSR1/NPC2/LIPA	5	C8_Plasma_IGHG1	GSE145926	Down
GO:1905952	regulation of lipid localization	8/162	183/18870	1.8618944269907742e-4	0.0038228257915874403	0.002978753084763889	APOC1/APOE/RETN/CES1/TREM2/TSPO/LRP1/MSR1	8	C8_Plasma_IGHG1	GSE145926	Down
GO:0010885	regulation of cholesterol storage	3/162	19/18870	5.440094762867925e-4	0.007994453978935352	0.006229293655798004	CES1/TREM2/MSR1	3	C8_Plasma_IGHG1	GSE145926	Down
GO:0008203	cholesterol metabolic process	6/162	140/18870	0.0013290913168524153	0.015518867926906354	0.012092331230746413	APOC1/APOE/CES1/CYP27A1/NPC2/LIPA	6	C8_Plasma_IGHG1	GSE145926	Down
GO:0042632	cholesterol homeostasis	5/162	100/18870	0.0017127931563149128	0.019219132509812685	0.014975584389974943	APOE/FABP4/CES1/TSPO/NPC2	5	C8_Plasma_IGHG1	GSE145926	Down
GO:0006631	fatty acid metabolic process	10/162	401/18870	0.002483970152960597	0.02547530426129713	0.019850405247508324	APOC1/ALOX5AP/CES1/ALOX5/CD74/MGST3/SCD/GPX4/LIPA/ASAH1	10	C8_Plasma_IGHG1	GSE145926	Down
GO:0019216	regulation of lipid metabolic process	9/162	342/18870	0.002842331247751386	0.028083784854062325	0.02188293825734227	APOC1/APOE/CES1/TREM2/CD74/TSPO/PSAP/NPC2/ASAH1	9	C8_Plasma_IGHG1	GSE145926	Down
GO:0070341	fat cell proliferation	2/162	14/18870	0.00622910058351553	0.04659753537280997	0.03630888766618736	TREM2/LIPA	2	C8_Plasma_IGHG1	GSE145926	Down
GO:1905952	regulation of lipid localization	10/185	183/18870	1.344903214466736e-5	5.211895515827563e-4	3.960594234058078e-4	APOC1/MSR1/APOE/PPARG/TSPO/RETN/ABCG1/DAB2/ABHD5/TREM2	10	C3_Epithelial_TYROBP	GSE145926	Down
GO:0010885	regulation of cholesterol storage	4/185	19/18870	3.0892505084121386e-5	9.784606898759216e-4	7.435463268222738e-4	MSR1/PPARG/ABCG1/TREM2	4	C3_Epithelial_TYROBP	GSE145926	Down
GO:0030301	cholesterol transport	8/185	128/18870	3.851187507584547e-5	0.0011542895026250954	8.771611661529658e-4	APOC1/MSR1/APOE/PPARG/TSPO/ABCG1/VAPA/TREM2	8	C3_Epithelial_TYROBP	GSE145926	Down
