category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	Dataset	status
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	5/46	216/8964	0.004760516011544561	0.03145340936199085	0.02254981268626371	NFKBIA/CXCL2/CXCL3/JUN/CALML3	5	C4_URO_GADD45B	GSE180595	Up
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	7/57	157/8964	5.607391960912789e-5	5.647444760633595e-4	5.017140175553548e-4	UQCRB/COX6C/COX7A2/COX7B/NDUFB1/NDUFA5/NDUFB3	7	C7_NK_GNLY	GSE186267_Blood	Down
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	4/41	157/8964	0.005541774749008801	0.036021535868557206	0.030833934693733186	UQCRB/COX6C/NDUFB1/COX7B	4	C3_CD4 memory_IL7R	GSE186267_Blood	Down
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	7/75	216/8964	0.002118294312561186	0.0216536751950699	0.016103991849880362	JUN/NFKBIA/FOS/CYBA/STAT3/ARHGEF1/SOD2	7	C3_CD4 memory_IL7R	GSE186267_Blood	Up
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	11/115	157/8964	4.974458622257109e-6	2.921715543789895e-4	2.215964443692635e-4	COX8A/UQCR11/NDUFB9/TGFB1/NDUFB7/NDUFS6/COX5B/COX6B1/NDUFA11/NDUFA13/JUN	11	C1_CD14 Monocytes_LYZ	GSE186267_Blood	Up
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	9/115	216/8964	0.00178888343835041	0.015755934899317075	0.011950031065903548	PYCARD/NCF1/CYBA/CD14/CALM3/MAP2K3/NLRP3/STAT3/JUN	9	C1_CD14 Monocytes_LYZ	GSE186267_Blood	Up
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	8/91	216/8964	0.001525579724539729	0.015657265593960377	0.010987554802779211	FOS/JUN/STAT3/CYBA/BAX/XBP1/NFKBIA/HSPA5	8	C4_CD8 naive_SELL	GSE186267_Blood	Up
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	6/91	157/8964	0.005141516202400043	0.03580698783814316	0.025127710763609236	SOCS3/FOS/JUN/BAX/XBP1/UQCR11	6	C4_CD8 naive_SELL	GSE186267_Blood	Up
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	5/46	157/8964	0.0011875542916110447	0.008737006573995542	0.00767892248710901	UQCRB/COX6C/NDUFB1/NDUFA5/COX7B	5	C5_B_memory_CXCR4	GSE186267_Blood	Down
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	5/51	157/8964	0.0018972663232797572	0.015051646164686074	0.012781583651568892	UQCRB/COX7A2/NDUFB1/COX6C/COX7B	5	C2_CD16 Monocytes_LST1	GSE186267_Blood	Down
Human Diseases	Endocrine and metabolic disease	hsa04932	Non-alcoholic fatty liver disease	7/27	157/8964	2.926007007200984e-7	2.516366026192846e-6	1.2936030979204352e-6	UQCRQ/NDUFB9/NDUFC1/NDUFA3/NDUFB10/COX5B/COX6A1	7	C6_cDC_RNASE6	GSE186267_Blood	Up
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	3/8	216/8964	7.065811348201928e-4	0.019427418562161184	0.015553455928194277	JUN/HSPA5/HSP90B1	3	C8_B_memory_CXCR4	GSE192391	Up
Metabolism	Lipid metabolism	hsa00071	Fatty acid degradation	7/75	43/8964	5.465764072095196e-8	3.2976776568307683e-6	2.5506899003110917e-6	ALDH2/ECHS1/ACAA1/EHHADH/ACAT1/ACADSB/ACAA2	7	C2_PT_FTL	GSE210622	Down
Metabolism	Global and overview maps	hsa01212	Fatty acid metabolism	6/75	57/8964	7.248242859716505e-6	1.6399149470108592e-4	1.2684425004503883e-4	ECHS1/ACAA1/EHHADH/ACAT1/ACADSB/ACAA2	6	C2_PT_FTL	GSE210622	Down
Metabolism	Lipid metabolism	hsa00561	Glycerolipid metabolism	2/7	65/8964	0.0010621046221735207	0.01486946471042929	0.010062043789012303	GPAT3/DGKI	2	C26_CDICA_SLC26A7	GSE210622	Down
Metabolism	Lipid metabolism	hsa00564	Glycerophospholipid metabolism	2/7	103/8964	0.0026445608364643663	0.018511925855250563	0.012526867120094367	GPAT3/DGKI	2	C26_CDICA_SLC26A7	GSE210622	Down
Metabolism	Lipid metabolism	hsa00561	Glycerolipid metabolism	3/39	65/8964	0.0027606331285325355	0.03818875827803341	0.0348711553077794	DGKB/PNPLA3/GPAT3	3	C3_PT_SLC22A7	GSE210622	Down
Metabolism	Lipid metabolism	hsa00590	Arachidonic acid metabolism	1/2	63/8964	0.014007609149080946	0.04658225299576868	0.006129243815232721	HPGD	1	C28_PODO_PODXL	GSE210622	Down
