ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	celltype	Dataset	status	TermID_revigo	Description_revigo
GO:0019216	regulation of lipid metabolic process	7/88	342/18870	0.0010917364228839091	0.013677897755274119	0.010597230992053584	APOE/APOC1/CES1/PSAP/NPC2/TSPO/ASAH1	7	C4_T|NK_NKG7	GSE145926	Down	GO:0019216	regulation of lipid metabolic process
GO:0055088	lipid homeostasis	5/88	175/18870	0.0013641437212409552	0.016097816903683778	0.012472112838417907	FABP4/APOE/CES1/NPC2/TSPO	5	C4_T|NK_NKG7	GSE145926	Down	GO:0042632	cholesterol homeostasis
GO:1905954	positive regulation of lipid localization	4/88	111/18870	0.0018091484150218292	0.01900147496975023	0.01472178130345529	APOE/RETN/MSR1/CES1	4	C4_T|NK_NKG7	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0033700	phospholipid efflux	2/88	14/18870	0.0018866540718030108	0.01946583083495577	0.01508155050586803	APOE/APOC1	2	C4_T|NK_NKG7	GSE145926	Down	GO:0030301	cholesterol transport
GO:0046890	regulation of lipid biosynthetic process	5/88	189/18870	0.001913315795707066	0.019625473132574234	0.015205236640552922	APOE/APOC1/CES1/TSPO/ASAH1	5	C4_T|NK_NKG7	GSE145926	Down	GO:2001279	regulation of unsaturated fatty acid biosynthetic process
GO:0120009	intermembrane lipid transfer	3/88	54/18870	0.0020472008765629462	0.020876688008670975	0.016174640952526093	APOE/NPC2/TSPO	3	C4_T|NK_NKG7	GSE145926	Down	GO:0030301	cholesterol transport
GO:0090205	positive regulation of cholesterol metabolic process	2/88	15/18870	0.002170320894162914	0.021629220729328134	0.01675768106677226	APOE/CES1	2	C4_T|NK_NKG7	GSE145926	Down	GO:2001279	regulation of unsaturated fatty acid biosynthetic process
GO:0010885	regulation of cholesterol storage	2/88	19/18870	0.0034919691804015424	0.03032135615061537	0.023492090734228196	MSR1/CES1	2	C4_T|NK_NKG7	GSE145926	Down	GO:0010885	regulation of cholesterol storage
GO:1905953	negative regulation of lipid localization	3/88	66/18870	0.0036280640866830334	0.03134790348789182	0.024287429276161763	APOC1/CES1/TSPO	3	C4_T|NK_NKG7	GSE145926	Down	GO:1905952	regulation of lipid localization
GO:0043691	reverse cholesterol transport	2/88	20/18870	0.0038682447668536442	0.03248967264140682	0.025172038276454544	APOE/CES1	2	C4_T|NK_NKG7	GSE145926	Down	GO:0030301	cholesterol transport
GO:0008203	cholesterol metabolic process	4/88	140/18870	0.004181469548869366	0.034433322012755244	0.026677920373562394	APOE/APOC1/CES1/NPC2	4	C4_T|NK_NKG7	GSE145926	Down	GO:0008203	cholesterol metabolic process
GO:0045444	fat cell differentiation	7/145	248/18870	0.003095121141287523	0.023785916516426368	0.01753305617607961	NR4A3/ATF5/ZFP36/SOD2/SOCS1/PLAC8/KLF4	7	C9_B_naive_CST3	GSE145926	Up	GO:0045444	fat cell differentiation
