gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype
ISG15	0	2.8119226510944397	0.873	0.303	0	C5_CD4_memory_IL7R
C1QA	0	-2.9942527264501613	0.108	0.624	0	C5_CD4_memory_IL7R
C1QB	0	-2.7352920218519152	0.128	0.605	0	C5_CD4_memory_IL7R
C1orf56	0	-1.8729795055284384	0.008	0.274	0	C5_CD4_memory_IL7R
MTRNR2L12	0	4.025603965217944	0.7	0.004	0	C5_CD4_memory_IL7R
HLA-DRA	0	-3.0089465093495047	0.424	0.87	0	C5_CD4_memory_IL7R
RPS10	0	-2.9573707397661204	0.249	0.766	0	C5_CD4_memory_IL7R
FABP4	0	-3.4072628201023023	0.037	0.578	0	C5_CD4_memory_IL7R
IFITM1	0	4.249344570565254	0.935	0.117	0	C5_CD4_memory_IL7R
IFITM3	0	3.2365030891735627	0.774	0.15	0	C5_CD4_memory_IL7R
RPL27A	0	-2.0898563510950754	0.684	0.887	0	C5_CD4_memory_IL7R
PTPRCAP	0	2.5035049058951193	0.637	0	0	C5_CD4_memory_IL7R
LYZ	0	-4.1019138433590765	0.153	0.715	0	C5_CD4_memory_IL7R
RPL21	0	-1.9103983197024297	0.859	0.956	0	C5_CD4_memory_IL7R
ISG20	0	2.668293761362011	0.827	0.166	0	C5_CD4_memory_IL7R
MT2A	0	2.8787369657628377	0.801	0.257	0	C5_CD4_memory_IL7R
TAOK1	0	4.002774864699244	0.917	0.091	0	C5_CD4_memory_IL7R
SNHG25	0	-1.8189856577766117	0.021	0.331	0	C5_CD4_memory_IL7R
APOE	0	-3.285668179710733	0.098	0.675	0	C5_CD4_memory_IL7R
APOC1	0	-3.9114478807762154	0.204	0.898	0	C5_CD4_memory_IL7R
RPL13A	0	-2.0104979991266436	0.825	0.939	0	C5_CD4_memory_IL7R
MX1	0	2.941183989750107	0.779	0.122	0	C5_CD4_memory_IL7R
MT-ATP8	0	3.9404182666935204	0.833	0.089	0	C5_CD4_memory_IL7R
MT-ND4L	0	3.548566645494216	0.925	0.298	0	C5_CD4_memory_IL7R
IFITM2	1.269431102508704e-306	2.0712449463265887	0.837	0.235	3.013883323576165e-302	C5_CD4_memory_IL7R
RPS20	9.7682957711606955e-305	-2.2788462879657825	0.623	0.836	2.3191887819889722e-300	C5_CD4_memory_IL7R
RPS17	3.2468709452194176e-299	-2.8670865949384643	0.33	0.713	7.708720998139941e-295	C5_CD4_memory_IL7R
H3F3B	7.356529319386588e-294	1.5286526884647755	0.933	0.613	1.7465871910087638e-289	C5_CD4_memory_IL7R
RSAD2	9.599803479599405e-294	2.882999180885827	0.634	0.027	2.2791853421264905e-289	C5_CD4_memory_IL7R
IFIT3	1.4902739851909246e-291	2.816036565291242	0.675	0.095	3.538208495640293e-287	C5_CD4_memory_IL7R
IRF7	1.4875341194704856e-285	2.1634986609185995	0.702	0.11	3.531703506446827e-281	C5_CD4_memory_IL7R
IFIT1	5.109305026690392e-283	2.62643841756532	0.646	0.054	1.213051199436833e-278	C5_CD4_memory_IL7R
RETN	2.079160324338934e-277	-2.1564075346491736	0.027	0.308	4.936342442045497e-273	C5_CD4_memory_IL7R
FTL	3.73072867192416e-271	-1.5193493462342431	0.954	0.997	8.85749601288234e-267	C5_CD4_memory_IL7R
LY6E	3.739436241085838e-265	1.6615045749296642	0.851	0.45	8.878169523585997e-261	C5_CD4_memory_IL7R
MARCO	3.407056252053631e-262	-2.397438522676757	0.059	0.38	8.08903295362573e-258	C5_CD4_memory_IL7R
IFI44L	2.487634504106565e-249	2.006717704762567	0.671	0.11	5.906141839649806e-245	C5_CD4_memory_IL7R
RPS29	1.5334795731626794e-245	-1.229683980349554	0.914	0.944	3.6407872026028335e-241	C5_CD4_memory_IL7R
TNFSF10	6.802235698439258e-245	2.5147825617785755	0.638	0.101	1.6149867995234485e-240	C5_CD4_memory_IL7R
CST3	9.89877696463383e-245	-2.266400772469452	0.215	0.613	2.350167626943364e-240	C5_CD4_memory_IL7R
MALAT1	1.6552337644183113e-242	-1.411344345243104	0.981	0.998	3.9298560034819546e-238	C5_CD4_memory_IL7R
IFIT2	1.0130446898873218e-237	2.777420167019545	0.577	0.054	2.4051707027304796e-233	C5_CD4_memory_IL7R
RNF213	6.465901092453815e-237	1.6754941124941694	0.804	0.294	1.5351342373703847e-232	C5_CD4_memory_IL7R
UBE2L6	2.671479913523847e-235	1.78993388033703	0.668	0.137	6.342627610688317e-231	C5_CD4_memory_IL7R
IFI6	1.3778638204877918e-229	1.8277598700667603	0.778	0.305	3.2713242826021153e-225	C5_CD4_memory_IL7R
RPL26	1.6867269192590141e-223	-1.228001911731976	0.875	0.918	4.004627051704751e-219	C5_CD4_memory_IL7R
OASL	1.1229811263098394e-216	1.9189875656034379	0.588	0.083	2.666181790084821e-212	C5_CD4_memory_IL7R
MX2	1.7079137466696718e-213	1.8556420260112803	0.587	0.072	4.0549288173431347e-209	C5_CD4_memory_IL7R
TAP1	8.155782637812634e-213	1.6084766761586131	0.626	0.108	1.9363459138694756e-208	C5_CD4_memory_IL7R
ALDH2	1.1835462190288705e-206	-1.5692595501527056	0.035	0.277	2.809975433218344e-202	C5_CD4_memory_IL7R
CSTA	4.717579700837923e-205	-2.1034474784176544	0.046	0.302	1.1200477725729398e-200	C5_CD4_memory_IL7R
HLA-C	1.2097936210093043e-203	1.164153579905828	0.934	0.784	2.87229201500029e-199	C5_CD4_memory_IL7R
HERC5	1.978858034598961e-201	1.8685223671654596	0.598	0.115	4.698204745744853e-197	C5_CD4_memory_IL7R
HLA-DRB1	3.3099327900457336e-200	-2.3378992537301646	0.455	0.727	7.858442430126581e-196	C5_CD4_memory_IL7R
NUPR1	6.009896306456381e-198	-2.111464625921035	0.07	0.352	1.426869581078874e-193	C5_CD4_memory_IL7R
PLSCR1	9.446127068916302e-198	1.7584312650711853	0.623	0.149	2.242699488702108e-193	C5_CD4_memory_IL7R
XAF1	1.895140197903322e-197	1.5473563274292395	0.628	0.128	4.499441857862067e-193	C5_CD4_memory_IL7R
CMPK2	6.559814754356265e-194	1.717856200246847	0.497	0.029	1.5574312189792644e-189	C5_CD4_memory_IL7R
OAS1	7.007552028972317e-194	1.7045769260784585	0.592	0.112	1.6637330027186076e-189	C5_CD4_memory_IL7R
ATP6V0C	7.690483088163525e-194	1.7234241799293313	0.469	0.005	1.8258744947917843e-189	C5_CD4_memory_IL7R
KLF6	5.095762748823242e-193	1.4434947992179215	0.81	0.349	1.2098359918256142e-188	C5_CD4_memory_IL7R
GBP1	2.3019835309479702e-192	1.7809094835192139	0.588	0.112	5.465369299176671e-188	C5_CD4_memory_IL7R
STAT1	1.6551145754474211e-190	1.6253105259794247	0.67	0.208	3.9295730250272675e-186	C5_CD4_memory_IL7R
NME2	9.72678629283816e-190	1.769277821954309	0.497	0.035	2.3093336016456363e-185	C5_CD4_memory_IL7R
OAS3	5.3403284660092056e-186	1.6634816444025842	0.51	0.051	1.2679007843999055e-181	C5_CD4_memory_IL7R
MIF	1.6491005392051527e-184	1.2784458348188226	0.754	0.301	3.915294500180873e-180	C5_CD4_memory_IL7R
RARRES3	1.6631939788125874e-184	1.5686915895357956	0.653	0.172	3.948755144496845e-180	C5_CD4_memory_IL7R
RBP4	5.798697127718413e-179	-1.1673038181486537	0.008	0.169	1.3767266720629056e-174	C5_CD4_memory_IL7R
AC114760.2	9.111653462674938e-177	-1.2913712489717657	0.005	0.154	2.1632887651082837e-172	C5_CD4_memory_IL7R
HLA-B	5.727716438644282e-175	0.8840550793530593	0.958	0.903	1.3598744368629254e-170	C5_CD4_memory_IL7R
DDX58	6.781352563001434e-175	1.6996473943562673	0.452	0.017	1.6100287255078006e-170	C5_CD4_memory_IL7R
PSMB9	2.097164926483078e-174	1.2686798079948682	0.762	0.35	4.979088968456124e-170	C5_CD4_memory_IL7R
EPSTI1	5.300362748744154e-174	1.3834719244612588	0.625	0.163	1.258412123806837e-169	C5_CD4_memory_IL7R
HLA-E	1.2505263341784452e-173	1.160269388098091	0.87	0.58	2.9689996226064645e-169	C5_CD4_memory_IL7R
AC026369.3	2.776404635164363e-171	-0.954739831376817	0.009	0.169	6.591739884807231e-167	C5_CD4_memory_IL7R
SAT1	6.231589981567198e-171	1.9096984755716617	0.813	0.465	1.479504093423684e-166	C5_CD4_memory_IL7R
SMCHD1	4.7889591539057065e-170	1.289407846391877	0.646	0.172	1.136994682320293e-165	C5_CD4_memory_IL7R
GAPDH	1.1011631838325268e-168	1.4129975557536527	0.888	0.602	2.614381631055185e-164	C5_CD4_memory_IL7R
RPL38	6.36334691133913e-168	-1.1707548041248534	0.802	0.85	1.5107858236901364e-163	C5_CD4_memory_IL7R
HSPA8	1.1149612135866493e-166	1.317977358111178	0.78	0.418	2.647140913297423e-162	C5_CD4_memory_IL7R
SAMD9L	3.3110756482456245e-166	1.472659294148214	0.583	0.14	7.861155804064762e-162	C5_CD4_memory_IL7R
IFI44	3.602599117262643e-165	1.3639792608785193	0.578	0.124	8.553290824204968e-161	C5_CD4_memory_IL7R
ALDOA	7.064516817568753e-165	1.3824980903592756	0.547	0.109	1.6772575828271734e-160	C5_CD4_memory_IL7R
EIF2AK2	6.7678390270330144e-164	1.381603422580974	0.593	0.15	1.6068203417981783e-159	C5_CD4_memory_IL7R
USP18	2.233573421800746e-163	1.4940965457885522	0.445	0.027	5.302950018039331e-159	C5_CD4_memory_IL7R
C19orf66	1.4734680246746502e-162	1.306631922989349	0.552	0.1	3.4983077841825548e-158	C5_CD4_memory_IL7R
RPL28	3.6499946618696124e-162	0.661398865506639	0.978	0.941	8.665817326210834e-158	C5_CD4_memory_IL7R
RPL36A	1.01635227197831e-161	-1.5911294477212867	0.71	0.811	2.4130235641309036e-157	C5_CD4_memory_IL7R
FBP1	7.661781480119306e-161	-1.6919868101814137	0.069	0.315	1.8190601590099256e-156	C5_CD4_memory_IL7R
PSMB10	8.188367131746522e-161	1.2984912105475397	0.54	0.107	1.944082124419259e-156	C5_CD4_memory_IL7R
NT5C3A	4.676523736678161e-160	1.449821395759612	0.52	0.091	1.1103002655621289e-155	C5_CD4_memory_IL7R
STK17A	5.117345615806796e-159	1.235987695361467	0.617	0.148	1.2149601961048495e-154	C5_CD4_memory_IL7R
RPL17	2.2892687831895596e-157	-1.7801925564858028	0.671	0.79	5.435181945048652e-153	C5_CD4_memory_IL7R
ZFP36	1.4709777165147894e-155	1.6710789535370383	0.584	0.154	3.492395294549413e-151	C5_CD4_memory_IL7R
SP100	4.545365035133826e-155	1.16550482303058	0.641	0.196	1.0791605666414729e-150	C5_CD4_memory_IL7R
MT-ND6	6.402291676379209e-154	1.9153500670712953	0.595	0.172	1.5200320898059518e-149	C5_CD4_memory_IL7R
OAS2	5.222785503274887e-153	1.4142660164509753	0.494	0.081	1.2399937341875238e-148	C5_CD4_memory_IL7R
IFI35	1.3760896301890763e-148	1.3580478356183683	0.537	0.128	3.267111999994905e-144	C5_CD4_memory_IL7R
IFI16	2.3267061448375544e-148	1.178786929851598	0.687	0.269	5.524065729073321e-144	C5_CD4_memory_IL7R
CD69	1.2419399631048695e-147	1.4026071441360435	0.596	0.157	2.948613860403581e-143	C5_CD4_memory_IL7R
AC116366.3	6.812026833011038e-147	1.4164241896770484	0.396	0.011	1.6173114106934806e-142	C5_CD4_memory_IL7R
TRIM22	1.0346326567888432e-146	1.341047012461795	0.623	0.203	2.4564248537480713e-142	C5_CD4_memory_IL7R
RPS18	5.5547941660865485e-146	-0.8595385111317775	0.901	0.946	1.3188192309122683e-141	C5_CD4_memory_IL7R
MRC1	9.858516511970626e-146	-1.1811145111659502	0.032	0.223	2.340608990272066e-141	C5_CD4_memory_IL7R
CCL2	5.1117470456095406e-145	3.892204496489324	0.387	0.009	1.213630983568617e-140	C5_CD4_memory_IL7R
RAC2	2.736427022404018e-143	1.1591146854134733	0.724	0.337	6.4968250365916195e-139	C5_CD4_memory_IL7R
NFKBIA	2.9884033986309394e-143	1.701005358625415	0.543	0.149	7.095067349029577e-139	C5_CD4_memory_IL7R
ZBP1	4.804756649177542e-142	1.4052406524226433	0.424	0.034	1.140745323647732e-137	C5_CD4_memory_IL7R
PHF11	6.683576279241348e-142	1.2133561351032096	0.515	0.106	1.5868146802174807e-137	C5_CD4_memory_IL7R
SAMD9	1.3310013788016787e-140	1.290734369316195	0.551	0.139	3.1600634735509457e-136	C5_CD4_memory_IL7R
TYROBP	4.384241674951599e-140	-1.7873368919012491	0.313	0.614	1.0409066584670086e-135	C5_CD4_memory_IL7R
BST2	3.61001983771929e-139	1.1733233664218903	0.654	0.256	8.570909098713138e-135	C5_CD4_memory_IL7R
VSIG4	5.109342036230433e-139	-1.4096523071222058	0.045	0.247	1.2130599862418296e-134	C5_CD4_memory_IL7R
LST1	6.543196067037013e-138	-1.619461170543364	0.131	0.393	1.5534856102359277e-133	C5_CD4_memory_IL7R
GIMAP7	6.60585290143142e-136	1.1768495195398931	0.65	0.224	1.5683615958578476e-131	C5_CD4_memory_IL7R
GIMAP4	1.894438446210423e-135	1.2667361722164439	0.586	0.18	4.4977757589927863e-131	C5_CD4_memory_IL7R
CD7	2.164927724577857e-135	1.3946849852008076	0.559	0.144	5.139971403692749e-131	C5_CD4_memory_IL7R
RPL35	4.8008530570790895e-135	-0.8762917500464273	0.869	0.889	1.1398185328117174e-130	C5_CD4_memory_IL7R
