gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	celltype
DYRK1B	0.6234668599796621	0.3641629852871811	0.103	0.084	1	C11_pDC_LILRA4
AK6	0.6235371460475685	-0.2966942821119648	0.118	0.093	1	C11_pDC_LILRA4
TSC22D1	0.6235371460475685	-0.37278678355238004	0.118	0.093	1	C11_pDC_LILRA4
FCGRT	0.6236816444149802	-0.3631098328133069	0.471	0.436	1	C11_pDC_LILRA4
DCAF11	0.625057872782106	-0.29669703938291236	0.147	0.158	1	C11_pDC_LILRA4
SCP2	0.6268770607090776	-0.4865239075712492	0.397	0.316	1	C11_pDC_LILRA4
LSM2	0.6275488761505988	-0.3947349459458992	0.25	0.245	1	C11_pDC_LILRA4
NDUFB1	0.629308096774299	-0.36959296100503347	0.426	0.415	1	C11_pDC_LILRA4
VPS26B	0.6303286463442715	-0.30709282986868114	0.118	0.131	1	C11_pDC_LILRA4
COX6C	0.6309115602894257	-0.3576907584411795	0.603	0.582	1	C11_pDC_LILRA4
HEBP1	0.6316534380394179	-0.27817925921095976	0.118	0.128	1	C11_pDC_LILRA4
GCHFR	0.6346444427710339	-0.30807454864636014	0.176	0.194	1	C11_pDC_LILRA4
CLNS1A	0.6375418469351584	-0.31541847770047793	0.25	0.251	1	C11_pDC_LILRA4
MAPRE2	0.6375418469351584	-0.44397127850428036	0.309	0.239	1	C11_pDC_LILRA4
BORCS7	0.6381493088272882	-0.36630649430303386	0.221	0.233	1	C11_pDC_LILRA4
TWF2	0.6387610569298137	-0.305091802001453	0.338	0.284	1	C11_pDC_LILRA4
METTL26	0.6388643382135948	-0.3252349194589198	0.324	0.266	1	C11_pDC_LILRA4
UBLCP1	0.639779805578564	-0.2948414194008734	0.132	0.149	1	C11_pDC_LILRA4
ECI2	0.6406902376185772	-0.36432440775662644	0.132	0.146	1	C11_pDC_LILRA4
UQCRQ	0.6407067596711997	-0.4884037523457594	0.485	0.445	1	C11_pDC_LILRA4
VPS51	0.6411507410437849	-0.2653656316997015	0.368	0.31	1	C11_pDC_LILRA4
JPT1	0.6422204785104472	-0.4705179651884646	0.206	0.215	1	C11_pDC_LILRA4
TNIP1	0.6426872957056733	-0.3164748593841056	0.294	0.299	1	C11_pDC_LILRA4
RNF5	0.6429295303046789	-0.3710114400766188	0.294	0.287	1	C11_pDC_LILRA4
MICOS13	0.6483966336933995	-0.3892217661418528	0.368	0.304	1	C11_pDC_LILRA4
CHCHD5	0.6503210826577306	-0.40543703065095393	0.279	0.272	1	C11_pDC_LILRA4
NSA2	0.6505664991247152	-0.42374584457121656	0.515	0.421	1	C11_pDC_LILRA4
SLC44A2	0.6521903886196279	-0.4251162467063676	0.368	0.358	1	C11_pDC_LILRA4
UROS	0.6526383586504139	-0.3535812718366692	0.118	0.134	1	C11_pDC_LILRA4
SDAD1	0.6531178907593334	-0.304524400859983	0.132	0.149	1	C11_pDC_LILRA4
CUTA	0.6544753082873417	-0.3702049971555793	0.309	0.293	1	C11_pDC_LILRA4
ARL6IP5	0.6548280839745158	-0.40892569847225424	0.456	0.373	1	C11_pDC_LILRA4
CISD3	0.6561171152654681	-0.5379680714887145	0.132	0.14	1	C11_pDC_LILRA4
CAMTA1	0.6565290632529259	-0.3642968970890528	0.206	0.221	1	C11_pDC_LILRA4
SUMO1	0.6565610173711602	-0.3273398757533038	0.353	0.304	1	C11_pDC_LILRA4
IDH2	0.6581493771578519	-0.40926348776635824	0.309	0.245	1	C11_pDC_LILRA4
SDF2L1	0.6588319130189513	-0.2527830211462442	0.353	0.29	1	C11_pDC_LILRA4
